text,prediction,confidence,top_scam_words,active_clusters,n_clusters
urgent ur  500 guaranteed award is still unclaimed  call 09066368327 now closingdate04 09 02 claimco,Scam,0.7389,"urgent, award, 02, guaranteed, 09","URGENCY, OTHER",2
hi  customer loyalty offer the new nokia6650 mobile from only  10 at txtauction  txt word  start to ,Scam,0.768,"offer, customer, start","REWARD, AUTHORITY, OTHER",3
well done  your 4  costa del sol holiday or  5000 await collection  call 09050090044 now toclaim  sa,Scam,0.7915,"holiday, 5000, collection, await, await collection","IDENTITY, OTHER",2
private  your 2003 account statement for shows 800 un redeemed s  i  m  points  call 08715203694 ide,Scam,0.8799,"account, code, shows, 800, account statement","FINANCIAL, CREDENTIAL, OTHER",3
wow  i never realized that you were so embarassed by your accomodations  i thought you liked it  sin,Scam,0.5392,didn,OTHER,1
private  your 2003 account statement for shows 800 un redeemed s  i  m  points  call 08718738002 ide,Scam,0.8736,"account, code, 11, shows, 800","FINANCIAL, CREDENTIAL, OTHER",3
urgent  your 4  costa del sol holiday or  5000 await collection  call 09050090044 now toclaim  sae  ,Scam,0.8303,"urgent, holiday, 5000, collection, await","URGENCY, IDENTITY, OTHER",3
nstall german based svs power saver   save upto 50  electric bill 100  result  govt  apprvd 3months ,Scam,0.7689,"free, power, money, result, 100","URGENCY, OTHER",2
power pack with free talktime  recharge with rs150   get rs50 tt   call loca2a   10p min  loca2o   3,Scam,0.8151,"free, talktime, power, valid, min","URGENCY, OTHER, IDENTITY",3
wild ride indias first dirt bike makes its debut in 2012 auto expo whats it called 1  ktm duke 125 2,Scam,0.7984,"free, aircel, blyk, blyk aircel, called","URGENCY, OTHER",2
congrats  2 mobile 3g videophones r yours  call 09061744553 now  videochat wid ur mates  play java g,Scam,0.7882,"play, congrats, 5we, bx420",OTHER,1
one day a crab was running on the sea shore the waves came n cleared the footprints of the crab  cra,Scam,0.6198,"crab, footprints, following, cleared, waves",OTHER,1
loan for any purpose  500    75 000  homeowners   tenants welcome  have you been previously refused ,Scam,0.8326,"free, help, loan, 000, 0800","URGENCY, AUTHORITY, FINANCIAL, OTHER",4
you have won  1 000 cash or a  2 000 prize  to claim  call09050000327,Scam,0.8856,"claim, 000, won, prize, cash","OTHER, REWARD, FINANCIAL",3
free video camera phones with half price line rental for 12 mths and 500 cross ntwk mins 100 txts  c,Scam,0.8145,"free, mins, video, camera, price","URGENCY, OTHER, IDENTITY",3
welcome back to airtel  call 121312 toll free to know your best full talktime recharge offer  aaj ba,Scam,0.839,"free, offer, talktime, toll, toll free","URGENCY, REWARD, OTHER",3
if d loser smiles after losing d game d winner wl lose d thrill of his victorydats d power of smile ,Scam,0.6331,"winner, power, lose, game","REWARD, OTHER",2
cds 4u  congratulations ur awarded  500 of cd gift vouchers or  125 gift guaranteed   freeentry 2  1,Scam,0.7602,"gift, awarded, draw, guaranteed, vouchers","REWARD, OTHER",2
